X,Y,TOWN_NO,TOWN,TOTAL_SQMI,LAND_SQMI,WATER_SQMI,COUNTY,PLAN_ORG,DEP_DIST,COAST_AREA
-72.6545470832036,41.5476609967849,"83",Middletown,42.90,41.70,1.20,Middlesex,Midstate,DEP Eastern District,
-72.1748727262752,41.5453490766784,"13",Bozrah,20.00,19.70,0.30,New London,Southeastern Conn,DEP Eastern District,
-72.7944939940579,41.536838375833,"80",Meriden,24.00,23.70,0.30,New Haven,South Central Conn,DEP Western District,
-72.0007559246447,41.5224183811399,"114",Preston,31.30,30.80,0.50,New London,Southeastern Conn,DEP Eastern District,OLISP Coastal Area
-73.1227602734086,41.5271246742485,"81",Middlebury,18.00,17.50,0.50,New Haven,Central Naug Valley,DEP Western District,
-73.3600973886368,41.5208399735827,"16",Bridgewater,16.30,16.30,0.00,Litchfield,Housatonic Valley,DEP Western District,
-72.9039953018313,41.5114518461356,"25",Cheshire,33.00,32.40,0.60,New Haven,Central Naug Valley,DEP Western District,
-72.7149244330022,41.5176869616306,"82",Middlefield,13.30,12.70,0.60,Middlesex,Midstate,DEP Eastern District,
-72.2664380178847,41.4853819275116,"121",Salem,29.90,29.00,0.90,New London,Southeastern Conn,DEP Eastern District,
-72.3943485805325,41.479796473239,"41",East Haddam,57.60,55.60,2.00,Middlesex,Midstate,DEP Eastern District,
-73.4882810158219,41.487803860917,"91",New Fairfield,25.80,20.80,5.00,Fairfield,Housatonic Valley,DEP Western District,
-72.9762778428478,41.4991810624054,"115",Prospect,14.30,14.20,0.10,New Haven,Central Naug Valley,DEP Western District,
-71.8753461199257,41.4696532343191,"102",North Stonington,56.30,55.50,0.80,New London,Southeastern Conn,DEP Eastern District,
-72.1567159462634,41.4638005936708,"86",Montville,43.90,42.10,1.80,New London,Southeastern Conn,DEP Eastern District,OLISP Coastal Area
-72.5459473152036,41.4675703294021,"61",Haddam,46.70,44.50,2.20,Middlesex,Midstate,DEP Eastern District,
-73.0517676810289,41.4889777436159,"88",Naugatuck,16.20,16.20,0.00,New Haven,Central Naug Valley,DEP Western District,
-73.3923244597689,41.4675296515557,"18",Brookfield,19.80,19.60,0.20,Fairfield,Housatonic Valley,DEP Western District,
-72.8041565391719,41.4590599814914,"148",Wallingford,39.80,39.40,0.40,New Haven,South Central Conn,DEP Western District,
-73.2327479614165,41.4745319243586,"130",Southbury,40.90,40.70,0.20,New Haven,Central Naug Valley,DEP Western District,
-72.6830864428386,41.46229475074,"38",Durham,23.30,23.20,0.10,Middlesex,Midstate,DEP Eastern District,
-73.1350983140828,41.4313147095758,"108",Oxford,33.00,32.60,0.40,New Haven,Central Naug Valley,DEP Western District,
